Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:00834006


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
834006;1;01/09/1982;1;76,7;233,7;17;19;1;1;1;;0;5,1;0,5;0,2;0,8;4,1;0,6;3,5;54,6;11,5;3,6;6,6;37,9;1,0;0,2;9,3;12,2;76,7;0,9;0,0;0,0;0,0;4,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/08/1982;1;29,3;174,7;11;27;1;1;1;;0;2,7;0,1;0,5;0,0;10,9;9,2;15,1;3,6;3,7;15,8;29,3;0,7;2,7;4,6;11,8;15,4;1,9;17,2;0,4;0,0;0,0;1,0;1,3;2,7;13,6;1,9;2,8;0,7;3,8;1,3;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/07/1982;1;74,6;299,2;31;26;1;1;1;;0;8,0;1,8;17,5;1,6;2,8;7,7;2,6;1,2;0,0;4,4;5,7;1,8;0,0;0,0;0,2;2,4;42,3;0,8;37,4;15,9;0,4;0,0;0,3;0,0;11,1;24,7;0,9;25,6;3,4;4,1;74,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/06/1982;1;109,3;519,2;21;30;1;1;1;;0;2,4;7,7;11,0;8,5;78,2;15,3;9,3;1,7;0,5;2,1;6,2;1,1;1,8;12,9;8,0;49,3;2,0;5,6;7,8;14,3;109,3;2,7;88,8;34,0;7,6;0,7;13,7;2,9;6,5;7,3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/05/1982;1;49,6;364,7;15;28;1;1;1;;0;7,0;0,0;28,1;0,0;1,0;6,9;9,3;20,0;33,5;35,2;8,7;26,4;20,9;0,7;49,6;1,4;4,4;3,1;18,4;2,3;24,4;15,4;0,4;11,7;0,0;1,1;0,3;6,9;0,3;0,9;26,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/04/1982;1;70,7;203,7;4;22;1;1;1;;0;7,6;4,3;0,0;70,7;0,0;0,0;0,0;0,0;12,0;7,6;31,5;0,4;0,0;6,8;0,7;2,8;16,0;0,8;8,1;3,9;0,3;4,6;5,9;0,0;0,0;3,6;1,3;0,3;9,2;5,3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/03/1982;1;25,0;89,4;31;13;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;8,0;6,2;11,0;0,0;7,0;3,1;0,0;0,0;8,8;3,3;0,8;0,0;0,0;0,0;11,3;2,1;0,0;0,0;0,0;0,0;0,0;0,0;1,5;1,3;25,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/02/1982;1;41,0;155,2;18;18;1;1;1;;0;0,0;0,6;3,4;0,0;0,4;0,0;0,1;10,8;0,0;0,0;0,0;0,2;0,0;0,4;28,3;4,1;19,0;41,0;25,0;0,0;3,5;0,9;0,0;4,4;0,0;6,6;5,0;1,5;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/01/1982;1;104,7;211,0;26;16;1;1;1;;0;1,2;0,3;0,0;0,0;0,0;0,4;0,5;0,0;0,3;3,3;19,9;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;28,7;5,8;3,5;0,0;0,0;104,7;29,8;0,0;0,4;11,5;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/12/1981;1;71,0;181,9;23;22;1;1;1;;0;0,0;0,0;0,6;0,3;0,2;0,0;2,7;8,6;6,2;1,2;2,7;0,0;0,0;3,4;1,0;0,3;0,0;1,3;9,7;27,5;5,7;34,3;71,0;0,1;0,5;4,3;0,2;0,0;0,0;0,1;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
